,review,sentiment
106,realtime,Negative
107,plis takut bgt,Positive
108,untung cari utama,Positive
109,pakai,Negative
110,gabisa dibukaa stuck logo,Negative
111,bagusdan bijak,Positive
112,bagushanya bumitsunami,Positive
113,tambahin laku karna,Positive
114,oleh,Positive
115,megathrust dampak buruk lindung tuhan maha esa aamiiin robbalalamin,Positive
116,pesan riwayat fenomena,Positive
117,kesini gara,Positive
118,suhu,Negative
119,rakyat juta karna rawan juta org,Positive
120,megathrust,Positive
121,shake dering alarm,Negative
122,sore bilang,Positive
123,bahaya kalu standart,Positive
124,turun kalok luamaaaa kayak detik penting selamat,Negative
125,nongol,Negative
126,mantap,Positive
127,vtuber malas unduh hmmpphh,Positive
128,bagustapi bmkggowa undur,Positive
129,senang tumbuh awan citra satelit,Positive
130,manfaat,Positive
131,ngecek kualitas udara gabisa kali coba klik tp ngeloading,Negative
132,sungguh sempurna info apl sore nyata,Positive
133,mantap,Positive
134,maju depan,Positive
135,beranda,Positive
136,suruh shinna,Positive
137,mantap,Positive
138,the best maskot vtuber,Positive
139,widgetnya padah ribet tinggal cek layar,Negative
140,kadangkadang kemarin batang batang wonosobo laman fb susul,Positive
141,tinggal mdpl musim dingin suhu angka  malam wkwkwk,Negative
142,lumyan,Positive
143,profesi nelayan,Negative
144,hmm informatif depan,Positive
145,analisis pola sebar,Positive
146,tiap,Positive
147,maju,Negative
148,rencana aktifitas,Positive
149,bagussllu,Positive
150,manfaat pancing,Positive
151,disebarluaskan rutin giat,Positive
152,manfaat,Positive
153,kklo,Positive
154,manfaat daki suka giat outdoor,Positive
155,force close loading,Negative
156,parah jelek tdak sbgus dlu,Negative
157,amal ilmu bincang,Positive
158,sus sendiriups,Positive
159,waras perintah doang,Positive
160,sampah bukak,Negative
161,klik pakai mantrijeron tinggal mlati jual sunmor fakultas terna ugm ringroad utara,Negative
162,ramal klaim alias kayak bawa oppo gajelas kirain lebat notifikasi uninstalling this,Negative
163,coba udate insfo gelombang,Negative
164,ngestuck jaring lancar kaya berat bgt,Negative
165,megetahui gampa,Positive
166,gegara admin stageofgowa wkwkk gaji,Positive
167,uptodate improve,Positive
168,lumayan informatif mantaaabbb,Positive
169,kualitas udara real time butuh delay moga darurat,Positive
170,sumbar tp sosmed,Negative
171,dimna,Positive
172,depan manfaat alaram,Positive
173,terlbat,Positive
174,buruk hilang sisa bener,Positive
175,coba ubah sirine rumah bisa peringatannyamungkin malam smoga ung pdahal loh gin,Positive
176,manfaat,Positive
177,sangatsangat sangatsangat,Positive
178,lumayantumben perintah niat,Positive
179,travel,Positive
180,bego lelet ngasih blm bego,Negative
181,makasih ujan ni siaga,Positive
182,kerja keras kak setting notifnya ng notifnya,Positive
183,liat,Positive
184,ngebug bejir,Negative
185,ter,Positive
186,suka trimakasih,Positive
187,sebenernya telat kaget,Positive
188,okey mantap,Positive
189,buka force close optimal android,Positive
190,bgt,Negative
191,boroboro kaya korea inimah duh konoha,Negative
192,manfaat mudah terupdate,Positive
193,sangatt,Positive
194,sabtu cari camat,Positive
195,ragu in tpi coba nyata gempamantul,Positive
196,sblm sblm depan,Positive
197,gempatsunami ponsel waspada,Positive
198,contoh internet lancar numpuk,Positive
199,coba,Positive
200,golong,Positive
201,karna notifnya telat sudh evakuasi,Positive
202,sirine atur,Positive
203,impormasi negara negara,Positive
204,lekas rawat lengkap lapang btw ews telat parah sumpah,Positive
205,tunggu diupdate ukur paksa nanyak grub fb fb lokasi panas tulis minggu trus,Negative
206,haduh akuratketika cerahsebaliknya cerahpadahal derasni kyk main anak,Negative
207,eh pasca tutup server,Negative
208,please responnya lambat imbau ngadu cek,Negative
209,gempacuaca,Positive
210,nyharap maklum sempurna dunia inisetidak ny tahu,Positive
211,    ,Positive
212,sore sekitar bandara juanda sidoarjo apknya,Negative
213,darkmode pls sakit mata layar putih,Positive
214,bener bener cuman resah tombol menu klik menu,Positive
215,ngawur real terang rawan,Negative
216,perhati detik beda ratus kilometer dasar utara malu detik pulau jawa akibat gunung asap beda warna merah merah muda merah tua badan goyang goyang,Positive
217,halaman beranda kemari ganggu buka terupdate real time sulit diupdate ubah iklimcuaca kr kedok ramal wkwkwk,Negative
218,home screen satset,Positive
219,terkadang alami bug,Negative
220,lapor,Positive
221,infox,Positive
222,bohong tipu hari deras nyata panas pagi malam deras nyata panas matahari sinar awan apa bohong panas bilang baik bawa jawa timur jabar jateng jatuh jatim berkah,Negative
223,normal kendala,Positive
224,hormat bmg apkikasinya mbokya notifnya gitu loh kayak bmg panas soale mulu dimatiin notifnya parno plis,Positive
225,gempasoalnya,Positive
226,akutat paksa uninstal,Negative
227,membantusemoga,Positive
228,resin bugnya gabisa gegara bug ampe fc mlu sm samsungnya tuuu,Negative
229,manfaat rakyat syukur jaga lestari,Positive
230,jaring,Positive
231,coba fungsi ngaruh mesti dlu,Positive
232,keren,Positive
233,geologi,Positive
234,dns adsense guard ponsel aktif,Positive
235,sidoarjo kmrn tgl kuat cuman sby kenasidoarjo,Negative
236,da sblm stunami kyk,Positive
237,tambahin darurat dihandphone sendiribergetar wilayah kena negara,Positive
238,menu mitigasi,Positive
239,nih semat bawa ponsel resmi beli dah jarak km bair asa sepwrti sekitar dampak,Positive
240,diupdate sampe warning bahaya bs koordinasi,Positive
241,batu sukses,Positive
242,google ken layar,Positive
243,liat,Positive
244,radar maps google maps peta hitam,Positive
245,kasih rute keren tuh prepare,Positive
246,ngak widgetnya ditambahin,Positive
247,terang rawan nyata lebat aplikasijika bs jaga,Negative
248,manfaat,Positive
249,baik radar plis,Negative
250,tahan dengar kritik,Positive
251,akses offline si kdg warga kena banjir jaring jelek butuh pake,Positive
252,aktif deras mendung,Negative
253,sedia widgetnya mudah lengkap spt lembab kualitas udara sedia layan share,Positive
254,ramalanprakiraan detail,Positive
255,radar curah,Negative
256,ubah rubah depan layar home screen mantap,Positive
257,batu kerja ku makasih,Positive
258,loadingnya banged nunggu cari koneksi internet tangga full pada memori berat loading keneh,Negative
259,keren lengkap detail,Positive
260,kasih cuacabiar bulak cek,Positive
261,manfaat atur kerja tani,Positive
262,urai panas angin petir gerimis kabut urai kabut asap kabut embun kabut tebal upgrade,Negative
263,pribadi dampak keren,Positive
264,gempabumi,Positive
265,blm klik buka ubah,Negative
266,coba timbang atur dasar radius jarak pusat aman atur jarak onoff setting pakai,Positive
267,akuratyah lenceng dikit mah wajar nama sobmantaaap,Positive
268,masukin nama desany,Positive
269,dikit dikit jdi,Positive
270,udh lot salah mulu,Negative
271,bgus akurattp sayangny ny bsa tmbahin nysprt weather lainnybiar tw sll bka trus,Positive
272,tibatiba otomatis rubah,Positive
273,mantap,Positive
274,pembri tetang ujan petir,Negative
275,sdh notifnya otomatis korea otomatis hpnya skrg sdh canggih terap terap indo habis dah notifnya,Positive
276,perintah sedia inisaya tani akurasi,Positive
277,lengkap trims,Positive
278,klu share wa,Positive
279,responsif,Positive
280,cari gagal aktif wifi lancar aneh bet pokok,Positive
281,lambat,Positive
282,radar mantu gerak awan,Positive
283,manfaat lingkung,Positive
284,pedoman,Positive
285,eror ntah karna butuh sinyal cocok jg gmn tpi syukur,Positive
286,ui kotak ganti logo bmkgnya,Positive
287,telat,Negative
288,tinjau,Positive
289,yuk,Positive
290,kecewa,Negative
291,sampah,Negative
292,lengkapbelum pasang surut air,Positive
293,tranparan ter updet,Positive
294,dear deplover overall boros kuota deplover boros kuota radar satelit,Positive
295,tmbahkan sperti thanks,Positive
296,alhamdulillah sedia jasa cuci karpet radar satelit ramal panas tahan ragu jemur karpet atap rumah semangat forma,Positive
297,nih smartphone,Positive
298,mantapjadi,Positive
299,keren liat engga ribet ngeliat pake,Positive
300,manfaat sus tani karna dgn kapn memualai aktifitas tani,Positive
301,baguscuma usul radar yogya semarang pindahin salah stunya tasik majalengka cirbonsoalnya yogya semarang radar,Positive
302,icon user interface simpel,Positive
303,mantapp iklan,Positive
304,mantep nih,Positive
305,manfaat,Positive
306,yaa antisipasi pergi kuar,Positive
307,buruk rawan ajar taiwan ttg,Negative
308,kemarin simple ribet repot kemarin cek maritim search cek maritim,Negative
309,kurangtambahin lg lindung dahulumakasih,Positive
310,error sistem androidnya pilih tutup gaji ganti error review baca datengnya lambat signifikan fungsi harap utama sekian,Negative
311,apkikasi tanda warning,Positive
312,bug monoton otomatis gercep,Negative
313,apresiasi appnya salah ramal spt,Positive
314,mnit,Negative
315,ifonya trims,Positive
316,akurasi peta realme time,Negative
317,lambat,Negative
318,sayang lambat sumedang kemarin tp,Positive
319,tunjang,Positive
320,maaf telat panik,Negative
321,lambat udh msh blm updtae,Negative
322,kasih kasih,Positive
323,top,Positive
324,klik,Negative
325,sarana pergi utama mancing dlsbg,Positive
326,akurasi,Negative
327,dgn,Positive
328,sayang peta sebar arah angin,Positive
329,dear badan meteorologi klimatologi geofisika,Positive
330,gimana twitter,Negative
331,notifikasi telat apa wa,Negative
332,jijik mudah paham aq turunin jd,Negative
333,bos aplikasi ngebug crash benah lapor samsung report crash khawatir aplikasi tumpang gelap benah,Negative
334,super lelet,Negative
335,mudah kerja sayasebagai lapangantwo tumb,Positive
336,kabar lamban kaya negara korea,Negative
337,uodate,Positive
338,citra satelit stuck tanggal,Negative
339,apknya mlh not responding,Negative
340,segi ui ux tera,Positive
341,hallo voice recognition ngak berfungsih pnyaku ngak kepake yaaa ushakan fungsi gaji pakai uang rakyat,Negative
342,gempa kemarin,Negative
343,manfaat rupa,Positive
344,mantap euy laku jarak recomended,Positive
345,butuh,Positive
346,sumpah berat loading muyak kadangkadang,Negative
347,info angin kmjam takut angin kencang khawatir,Positive
348,klik manual klik klik,Negative
349,mudah paham tanggap siaga mjsh,Positive
350,senang,Positive
351,bug baharu,Negative
352,maaf uninstall tempat tempat rawan aplikasi mati,Negative
353,banyak animasinyalebih,Positive
354,ipo masarkkat tawu,Positive
355,tanggap,Positive
356,masuk durasi gambar dampak goyang tanah gedungbangunan,Negative
357,cek kualitas udara tempat,Positive
358,dlm khusus,Positive
359,meleset november mendung gelap doang tuh yah,Negative
360,tabel pasut air,Positive
361,mudah paham,Positive
362,bilang ui bagusyang bukadi fix aman aka lancarhp xan kentang,Positive
363,android realtime,Positive
364,manfaat mudah,Positive
365,oke animasi radar menu awan cb error,Positive
366,       ,Positive
367,bug benerin,Positive
368,heran milik perintah stuk logo doang,Negative
369,dark mode mode gelap enak malam,Positive
370,pokok baguss cepett,Positive
371,kaget getar dadak keras,Positive
372,hoax bilang ringan panas terik sore belah,Negative
373,jelek skrng udh refresh smpe tpi blum hmm,Negative
374,angin solo kemarin,Negative
375,ui simple to the point harap mode gelap,Positive
376,depan butuh ubah real time,Positive
377,lambat,Negative
378,manfaat milik saudara pelosok dpt kualitas udara terupdate dpt sharing dr sumber terpercayakarena adala tenaga profesional alam dpt tindak evakuasi,Positive
379,dear team tks,Positive
380,skrg telat knp,Positive
381,pakai ngecek gerak awan live lgi,Negative
382,banding,Negative
383,hasil jarak lapor,Negative
384,simpel sedia sistem pilih kualitas udara pilih kualitas udara domisili sistem bayar mahalmahal pilih,Negative
385,durasi,Positive
386,manfaat utama wilayahwilayah sayang suhucuaca suhu derajat bawa google suhu derajat pagi dingin tulis sekian intensitas hujanhujan terimaksih,Positive
387,sabang merauke ngikutin wkt jakarta wkt bedah beda,Positive
388,hati,Positive
389,senang gambar,Positive
390,minim,Negative
391,sistem canggih,Positive
392,slalu manfaat,Positive
393,ramal xjam beda letak geografis muka,Negative
394,coba nilai hasil kerja,Positive
395,sayang gelombang pasang surut air lengkap,Positive
396,asli parah tersruktur bingung sperti,Negative
397,untung aman,Positive
398,klik buka,Negative
399,gua waspada,Positive
400,parah mending,Negative
401,pusat lombok utara tanah bambu pusat lombok utara,Negative
402,lambat suka top,Negative
403,buat alaram mudah susul,Positive
404,weh kenap pemberitauan gemoa salah sya kalsel gemoa twitter denpasar gmna,Negative
405,manfaat,Positive
406,notifikasi dobel koreksi koreksi susul resiko notifikasi mode senyap tahap uninstall,Positive
407,updatenya magnitudo lambat,Negative
408,radar utama butuh,Positive
409,henti,Negative
410,realtime lengkap dipublish,Negative
411,trimsdpt antisipasi dgn kewilayaan,Positive
412,donlot,Negative
413,cepet web uiux ampas buang buang aggaran sampah,Negative
414,force close android mediatek,Negative
415,arah barat daya barat acu gunung tidar harap acu manusia,Positive
416,informatif kalang,Positive
417,sayang beranda lumayan bual liat suhu udara,Positive
418,setia teman pra,Positive
419,tunggu yaa,Positive
420,mnit sulseltapi up dateapknya lambadbiasa rit berllu,Negative
421,bencamn keren,Positive
422,sulit kasih,Positive
423,akuratawal ngefrezze,Negative
424,ngasih,Positive
425,bug,Negative
426,depan canggih akurasi,Positive
427,keren uinya ganti model web,Positive
428,uinya ui susah peta tutup bahaya negara,Positive
429,ramal diupdate,Negative
430,akurasi turun kayak,Negative
431,berguns,Positive
432,yagempanya infobmkg,Negative
433,dibukasetelah perangkat redmi logo layar hape,Negative
434,terang lengkap alamat provinsi kotakab khusus dahsyat,Negative
435,iklim dn lahit,Positive
436,mencet notifnya respon kemarin tanggap,Negative
437,lambat kait buruk nyata buruk,Negative
438,harap radar pergeran belakang depan sidarma,Positive
439,melulu harap netizen,Negative
440,mudah mudah impormasi,Positive
441,mnrt sedia peta tepatfiturnya canggihlayanan smslayanan email dlm daerahdaerah terpencilmenurutsaya jgn batas akses daftar puas,Positive
442,badan meteorologi klimatologi geofisika manfaat kualitas,Positive
443,kurang sistem satelit sistem satelit awan badai suka lengkap kualitas responsif optimal,Negative
444,tarap jalan efektif organisir pencil jangkau real time terkadang notifikasiny sulit dn,Negative
445,tuju sangay,Positive
446,manfaat,Positive
447,tani jadwal patok aktipitas,Positive
448,jelek maaf uninstal,Negative
449,atur dingin contoh sumatera notifikasi papua,Positive
450,beda menu cari beda binggung dashboard jgn ubah,Negative
451,manfaat oleh,Positive
452,klik redmi note pro android,Negative
453,baca,Negative
454,ngk bergunagempa ski ngk lihataplikasi tidur mulu,Negative
455,klimatologi membentu,Positive
456,tunjang aktivitas ruang dgn valid atas,Positive
457,setela baca,Negative
458,kumpul bodoh makan gaji buta,Negative
459,kesini bug,Negative
460,maritim rubah ribet sblm maritim tinggal klik peta skrg ketik pencarianfitur klik peta hilang,Negative
461,sukses kualitas,Positive
462,ni klik manual zzzz,Negative
463,tetep bolak mati daya rubah,Negative
464,real time,Positive
465,jarang buruk suhu ultraviolet bahaya otomatis badan aman kelas negara ayom kaya korsel,Negative
466,cek indo,Positive
467,selisih,Negative
468,antisipasi buruk,Positive
469,trus bafus,Positive
470,akuratdi bukti malam sedangnyata malam inijadi hapus ni,Negative
471,team navigasi peta tranportasi keratatolbandara navigasi posisi kendara hilir layan publik pusat fleksibel ubah navigasi butuh domestik internasional wisata domestik internasional wisata,Positive
472,main layang,Positive
473,fenomena,Positive
474,cari camat kec lelea indaramayu kaga,Negative
475,bug delay home loading gada,Positive
476,notifnya heboh hahaha,Positive
477,bagusdibuat,Positive
478,mending pindah,Negative
479,eta,Positive
480,tinghi gelombang,Positive
481,mantap wawas,Positive
482,mw pergi cek,Positive
483,manfaat sayang seluru penjuru nusantara,Positive
484,toptapi berhentiitu gimana,Positive
485,admin updateperbaiki kualitas udara sering kualitas udara kaya gimana,Positive
486,kalimantan meleset panas derajat,Negative
487,lambat cek selisih,Positive
488,tahu,Positive
489,lengkap twitter,Negative
490,fenomena astronomi gerhana meteor,Positive
491,lbh kyk lbh mudah cari kelompok pusing contok bukittinggi bukittinggi laen,Negative
492,            ,Positive
493,situasi,Positive
494,aman aktivitas out door,Positive
495,apknya,Positive
496,oleh berita terupdate,Positive
497,dgn dpt dpt notovikasi,Positive
498,beraktifitas,Positive
499,good job,Positive
500,valid,Positive
501,padat akuratjadi rujuk kesimpangsiuran,Positive
502,utama kuat,Positive
503,mitigasi lombok,Positive
504,lengkap cari butuh dn sedia dlm,Positive
505,kualitas aksesibilitas informatif fresh fiture,Positive
506,cari,Positive
507,buruk butuh terupdate tawa baru emosi becus sedia layan publik mending hapus,Negative
508,serene potensi lari tempat aman,Positive
509,bingung pmberitahuan turun pd smpai rubah panas perna,Negative
510,liat ku,Positive
511,buruk peta apaaan,Negative
512,terbukakenapa,Negative
513,sus tepi waswas sunam,Positive
514,rupa pesan harap buang ni faedah masak,Negative
515,bru tpi bsa,Negative
516,kesini buruk riwayat,Negative
517,milik simpan homescreen kerjasamanya,Positive
518,klik atas,Negative
519,mmi beranta karuan notifikasi klik impormasinya,Negative
520,gatau emang gimana menu tetep karna detikmenit ditungguin sampe masukmasuk hmmmm,Positive
521,maaf salah survey unduh survey,Positive
522,jlek ngk kebaya baru mending no problem,Negative
523,lambat adu adu,Negative
524,asw setan,Negative
525,bagusberita propesional,Positive
526,gambarpetagrafis sebelumya,Positive
527,sebenernya abdetan utama lhih realklo membagongkanlain negara kena,Positive
528,hny knp skrg kirim survey eror,Positive
529,jelek gempat baru notifkasi sumpah sampah lamalama,Negative
530,eh lumayan serang blum ngerti gua fungsi,Negative
531,ngak akuratsetelah ngak laporanya,Negative
532,sya suka,Positive
533,terkadang telat,Positive
534,tlg klik ngga ngefek ngga ngga ky,Positive
535,lumayan,Positive
536,crash android no aktif system android crash review edit selesai android crash,Positive
537,lumayan,Positive
538,daerah tinggal daerah sumatera yaa sumatera numpuk bejibun ujung baca,Positive
539,menu,Negative
540,dear niat mudah,Negative
541,posisi alamat temu,Negative
542,dgn adax untk senantiasa wapada,Positive
543,informatif ui mudah dimegerti,Positive
544,tambahin plisssoalnya bangetminimal gtu ayo tambahin,Positive
545,badan meteorologi klimatologi geofisika is the best,Positive
546,oleh terupdate percaya,Positive
547,notifikasi lambat lambat,Positive
548,ksh dgn jd dgn smoga,Positive
549,hari kerja lapang bmkgsemangat sukses depan,Positive
550,tugas lapang,Positive
551,dampak banyak cmn mas dampak cmn banjir longsor angin puting beliung,Positive
552,wasilah siaga,Positive
553,normal atap bingung pals ujan terang,Negative
554,kenal kandung geologi waspada,Positive
555,bos krna bermamfaat makasih admin,Positive
556,efisien ponsel,Positive
557,menbantu hariya karna kerja lapagan tmks,Positive
558,lengkap lokal global utama,Positive
559,praktis tambahin hujangempadll,Positive
560,cari provinsi jd gampang cari teraratur amburadul cari camat bngt ku ksh dl klu sdh cari camat provinsi bar ksh,Positive
561,harap dlm imformasinya,Positive
562,presentasi akurasi lenceng,Negative
563,responnya cepat mati himbau,Negative
564,jng trs an udpate nyakl blm nerima,Positive
565,nyaman,Positive
566,lambat tanggap,Positive
567,sprt doloeribet nyelimet mending instal negri,Negative
568,sengaja rating jelek citra satelit radar timeline timelapse arah gerak awan,Negative
569,maaf kurang jaring tp susah main game online gagal ringan,Positive
570,telat lepas tailah gitu,Negative
571,manfaat waspada,Positive
572,hasil real time ig upload sdh keburu sapu hasil,Negative
573,ui boros font besar setting,Negative
574,baru ganggu bareng jeda detik posisi ganggu,Negative
575,tp baru nyata loading lambat,Positive
576,sebentar sr atur dasar dasar jarak,Negative
577,khusus papua,Positive
578,notifikasi selisih,Negative
579,mantap,Positive
580,baik koneksi failedpadahal pake jaring wifi koneksi failed,Negative
581,frontend web keren uy ui mantebbbb,Positive
582,catat tim bold huruf cuman tulis potensi bold huruf salah kaprah gaa takut ajaa telat salah kaprah doang,Negative
583,suka ngelag aplikasikedepan,Positive
584,sedia,Positive
585,early warning systemnya bun ringtone bahaya,Positive
586,bencanacuaca,Positive
587,bisamelihat gmn lumayan thanks,Positive
588,tutup uninstall restart install tetep tutup krn ken install buka sayang,Positive
589,lamaaaa bangett updatee nyaaakeduluan khawatir lohh alangkah depan nyaa,Negative
590,sanggat maafaat,Positive
591,telat tp mnit,Negative
592,aplikasigak tlat mulu,Negative
593,cianjur baru instagram updatean,Negative
594,good antisipasi benca,Positive
595,milik vulkanologi vulkanologi ranah depan aktivitas vulkanik daki beraktifitas vulkano indikasi bahaya,Positive
596,warning sistem padu real time,Positive
597,donk,Positive
598,jelek updatetannya simple,Negative
599,layar,Positive
600,maaf kolo alarem cuacanotifikasi pdc updatebagikan pdc share,Positive
601,pasca telat pagi,Negative
602,senang karna aktifitas seha trimakasih,Positive
603,gw ngrasaiin mulu sluruh prasaan mulu kiamat,Positive
604,liat,Positive
605,admin semangat cipta depan sukses,Positive
606,prediksi petir cuman rawan prediksi rawan nyata insentitas lebat sistem waspada faktor iklimcuaca,Negative
607,informatif,Positive
608,diupgrade lot,Positive
609,bangat dpat,Positive
610,pake ulang dapet cek setting berkalikali takut aktif notifnya aktif tetep,Positive
611,batu,Positive
612,mantab modern rinci,Positive
613,manfaat instal,Positive
614,manfaat,Positive
615,km nelayan,Negative
616,akurasi gang relatif ubah muka paragraf tiada sistematis,Positive
617,fress adaptasi,Positive
618,manfaat cuacagempa iklim,Positive
619,list hari brp hari,Positive
620,mantap ramal,Positive
621,notifikasi perbaikin notifikasi,Negative
622,mana,Positive
623,unistal kecewa skrg alhamdulillah stelah parbaikan,Positive
624,pandu,Positive
625,diupdate meleset contoh ringan nyata panas gelegak,Negative
626,uiux mantap sederhana kemarin friendly down upgrade mending tugas maintenance,Positive
627,informasih kitaamin,Positive
628,manfaat dlm,Positive
629,mantap atur pergi dgn tinjau,Positive
630,realtime,Positive
631,informatif butuh negara supermarket,Positive
632,membantutingkatkan,Positive
633,mudah mudah manfaat,Positive
634,krn monitor proyek jkt,Positive
635,sekalibagus,Positive
636,sayang dicopy paste sulit dishare medsos,Positive
637,utama,Positive
638,dg,Positive
639,keluarmenghilang,Positive
640,lambat skrg mah,Negative
641,mberikan infomasi,Positive
642,minggu minggu ramal iya nama ramal cuacabukan tebak,Positive
643,kabar muat nyaman,Positive
644,semenjak upgrade force close memory sempurna thanks,Negative
645,inih ko syh suruh perbaikin,Negative
646,mo sa su riset,Negative
647,login sndri liat,Negative
648,diupdate,Negative
649,ko suka,Negative
650,senag pakai karna iya tunjuk langsun,Positive
651,kemarin kyknya normal tpi eror lgi,Positive
652,ponsel asuk instal ulang,Negative
653,knp,Negative
654,gag error trs gimana mo dpt emosi,Negative
655,appnya,Positive
656,merespon darurat tanda contoh getar sirene,Positive
657,out,Negative
658,tlg baharu,Positive
659,online lengkap perangkat seluler ponsel terinstal,Positive
660,kog,Negative
661,sdh aplikasi ngelag,Negative
662,screenshot share temen temen skrg enak nyaman,Negative
663,baguskarna dgn posisi ada,Negative
664,detailtrims,Positive
665,mantepp akn atur skala ad rupa getar,Positive
666,klau otomatis,Negative
667,force close,Positive
668,ulang,Negative
669,sendri,Negative
670,buruk,Negative
671,macet,Positive
672,logout kesel bgtttt udh coba kali tetp gaabisa,Negative
673,fc force close,Negative
674,suka kmbli sndri si seta updatee,Positive
675,mengaxses lokal pulau jawa,Negative
676,knapa pdhl sdh hapus uninstal trus instal lgi,Negative
677,laku ragu,Negative
678,crass base analisis exception hanling permission,Negative
679,mhn menu lgbiar lbh oke,Positive
680,manfaat informatif,Positive
681,diupdate,Negative
682,traveling,Positive
683,admin setel ulang tanggal tanggal telat harikejadian catat tanggal kemarintolong benar,Positive
684,bugs semangaaaattt,Positive
685,ny,Negative
686,kaya gitu,Positive
687,apkl tgl sdh instal ulang ttp knp,Negative
688,maritim lamaversi tinggal klik gambar kedepanversi ribet ketik nama,Negative
689,iki gimana lodiiiiing respon lagiiiiiiiiiii yaaaaaaaa,Negative
690,menu kecewa,Negative
691,loading force close sederhana,Negative
692,habis bs,Negative
693,habis upgrade ngga suka,Positive
694,telat,Negative
695,map udh to admin trimaksih,Negative
696,impormasi ko trus,Negative
697,maaf turun force close,Negative
698,bermanvaat tuk situasi mantap,Positive
699,gempah jg notifikasitolong,Negative
